City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
429,Anshun,CN,51.69,overcast clouds,26.25,105.9333,安顺麦吉风格酒店
431,Cururupu,BR,75.42,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
432,Lata,PT,51.82,broken clouds,40.1629,-8.3327,Casa Maquia
434,Kuna,US,56.21,mist,43.4918,-116.4201,Winfield Springs
439,Sao Domingos Do Maranhao,BR,72.14,overcast clouds,-5.5758,-44.3853,Pousada Babaçu
441,Puerto Leguizamo,CO,71.89,overcast clouds,-0.1934,-74.7819,la casona de juancho
444,Basseterre,KN,79.18,few clouds,17.2948,-62.7261,St. Kitts Marriott Resort & The Royal Beach Casino
445,Lodwar,KE,79.09,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
446,Panaba,MX,67.69,clear sky,21.2833,-88.2667,Hotel California
447,Lompoc,US,55.13,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
448,Puerto Escondido,MX,78.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
449,Laurel,US,50.76,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
459,Kuruman,ZA,61.0,light rain,-27.4524,23.4325,Cornerstone Guest House
462,Bani,DO,76.86,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
463,Bardiyah,LY,62.82,broken clouds,31.7561,25.0865,بورتو بردية
464,Dongli,CN,69.78,clear sky,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
467,Dharchula,IN,61.39,clear sky,29.85,80.5333,Mahara Hotel
469,Lagoa,PT,63.1,few clouds,39.05,-27.9833,Casa Das Faias
470,Portland,US,53.1,light rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
472,Shenzhen,CN,69.13,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
474,Maxixe,MZ,75.6,clear sky,-23.8597,35.3472,Oceano
476,Port Lincoln,AU,64.67,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
477,Sterling,US,50.27,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
483,Kitui,KE,61.14,light rain,-1.367,38.0106,Heritage Bliss Hotel
487,Boromo,BF,72.99,scattered clouds,11.75,-2.9333,Sama Camp
489,Viedma,AR,57.43,clear sky,-40.8135,-62.9967,Hotel Cristal
490,Tainan,TW,76.78,scattered clouds,22.9908,120.2133,Tie Dao Hotel
495,Coari,BR,73.87,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
496,Maragogi,BR,77.07,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
497,Homa Bay,KE,65.12,overcast clouds,-0.5273,34.4571,ACK Guest House - Homa Bay
499,Kang,BW,68.32,overcast clouds,-23.6752,22.7876,Kang Ultra Stop
502,Teknaf,BD,77.79,overcast clouds,20.8624,92.3058,Forestry Guesthouse
503,Vallenar,CL,70.12,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
505,Ahuimanu,US,73.11,light rain,21.4447,-157.8378,Paradise Bay Resort
507,Lahaina,US,74.95,light rain,20.8783,-156.6825,Lahaina Shores Beach Resort
