City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,Severomuysk,56.1481,113.4267,9.46,91,100,6.64,RU,2021-12-05 02:49:51
278,Churapcha,62.0025,132.4325,-13.32,97,94,3.94,RU,2021-12-05 02:49:51
279,Constitucion,-35.3333,-72.4167,61.07,58,0,8.61,CL,2021-12-05 02:47:36
280,Hasaki,35.7333,140.8333,50.4,54,9,14.47,JP,2021-12-05 02:49:52
281,Ankara,39.9199,32.8543,45.21,93,40,1.14,TR,2021-12-05 02:49:52
282,Margate,51.3813,1.3862,40.96,86,100,4.0,GB,2021-12-05 02:49:53
283,Porangatu,-13.4408,-49.1486,71.13,96,85,3.85,BR,2021-12-05 02:49:53
284,Quatre Cocos,-20.2078,57.7625,78.1,68,17,11.05,MU,2021-12-05 02:47:06
285,Balagansk,54.0103,103.0544,22.1,76,70,14.83,RU,2021-12-05 02:49:54
286,Cleveland,41.4995,-81.6954,40.89,79,1,12.66,US,2021-12-05 02:49:11
287,Tornio,65.8481,24.1466,-9.38,98,16,4.45,FI,2021-12-05 02:49:54
288,Chokurdakh,70.6333,147.9167,-41.17,100,56,3.31,RU,2021-12-05 02:49:55
289,Kuusamo,65.9667,29.1833,-0.36,78,40,5.75,FI,2021-12-05 02:49:55
290,Rensvik,63.1,7.8167,32.27,59,75,4.61,NO,2021-12-05 02:49:56
291,Marathon,44.9,-89.7668,32.2,62,90,4.61,US,2021-12-05 02:49:56
292,Elko,41.0002,-115.5012,45.64,43,16,5.01,US,2021-12-05 02:45:03
