City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,Adrar,20.5022,-10.0711,overcast clouds,62.37,21,100,10.18,MR,2021-12-05 03:11:11
183,Katherine,-14.4667,132.2667,overcast clouds,98.92,36,96,8.05,AU,2021-12-05 03:11:11
184,Ust-Maya,60.4167,134.5333,overcast clouds,-5.75,95,98,3.89,RU,2021-12-05 03:11:12
185,Brae,60.3964,-1.353,overcast clouds,37.31,65,98,25.1,GB,2021-12-05 03:11:12
186,Ostrovnoy,68.0531,39.5131,broken clouds,6.35,95,83,8.43,RU,2021-12-05 03:11:12
187,Moose Factory,51.2585,-80.6094,overcast clouds,6.44,93,98,6.98,CA,2021-12-05 03:11:13
188,Upata,8.0086,-62.3989,scattered clouds,69.73,92,27,3.94,VE,2021-12-05 03:11:13
189,Cape Town,-33.9258,18.4232,light rain,62.1,90,100,3.0,ZA,2021-12-05 03:11:13
190,Buraydah,26.326,43.975,clear sky,56.5,46,5,9.82,SA,2021-12-05 03:11:14
191,Bud,39.447,-86.1758,clear sky,38.32,72,2,7.07,US,2021-12-05 03:11:14
192,Port Alberni,49.2413,-124.8028,broken clouds,39.13,96,81,1.99,CA,2021-12-05 03:11:14
193,Naze,28.3667,129.4833,overcast clouds,60.6,60,93,10.76,JP,2021-12-05 03:11:14
194,Bocas Del Toro,9.3333,-82.25,overcast clouds,78.53,78,100,6.22,PA,2021-12-05 03:11:15
195,Batagay-Alyta,67.8006,130.4114,overcast clouds,-23.35,99,100,1.36,RU,2021-12-05 03:11:15
196,Omboue,-1.5746,9.2618,light rain,77.11,92,100,6.82,GA,2021-12-05 03:11:15
197,Severnoye,56.3491,78.3619,overcast clouds,28.17,94,99,15.9,RU,2021-12-05 03:11:16
198,Zelenoborskiy,66.845,32.3622,scattered clouds,-2.81,98,39,3.78,RU,2021-12-05 03:11:16
199,Lebu,-37.6167,-73.65,clear sky,53.53,86,0,17.85,CL,2021-12-05 03:11:16
200,Chama,47.1821,8.4636,overcast clouds,39.36,84,98,1.01,CH,2021-12-05 03:11:17
201,Zhigansk,66.7697,123.3711,light snow,-13.43,98,100,11.72,RU,2021-12-05 03:11:17
202,Dauriya,49.9333,116.8667,clear sky,22.77,79,9,18.23,RU,2021-12-05 03:11:17
203,Coihaique,-45.5752,-72.0662,broken clouds,57.15,62,75,4.61,CL,2021-12-05 03:11:18
204,Kouango,4.9934,19.9619,broken clouds,73.26,77,84,1.74,CF,2021-12-05 03:11:18
205,Eirunepe,-6.6603,-69.8736,heavy intensity rain,73.96,98,92,0.98,BR,2021-12-05 03:11:18
206,Soyo,-6.1349,12.3689,overcast clouds,77.68,89,98,5.35,AO,2021-12-05 03:11:19
207,Kashi,39.4547,75.9797,broken clouds,28.62,38,57,0.22,CN,2021-12-05 03:11:19
208,Majene,-3.5403,118.9707,overcast clouds,82.22,80,96,11.52,ID,2021-12-05 03:11:19
209,Tessalit,20.1986,1.0114,overcast clouds,62.91,17,100,8.21,ML,2021-12-05 03:11:20
210,Itoman,26.1247,127.6694,scattered clouds,71.98,43,40,13.8,JP,2021-12-05 03:11:20
211,Georgetown,5.4112,100.3354,few clouds,84.88,71,20,1.99,MY,2021-12-05 03:11:20
212,Sistranda,63.7256,8.834,broken clouds,28.36,63,74,9.28,NO,2021-12-05 03:11:21
213,Unguia,8.0434,-77.0945,overcast clouds,75.16,97,100,1.54,CO,2021-12-05 03:11:21
214,Namibe,-15.1961,12.1522,scattered clouds,69.17,73,37,3.31,AO,2021-12-05 03:11:21
215,Teguldet,57.3064,88.1667,overcast clouds,21.06,92,100,10.0,RU,2021-12-05 03:11:22
216,Castro,-24.7911,-50.0119,scattered clouds,58.3,99,42,5.53,BR,2021-12-05 03:11:22
217,Puerto Ayora,-0.7393,-90.3518,scattered clouds,68.45,91,38,6.02,EC,2021-12-05 03:11:22
218,Ovre Ardal,61.3167,7.8,overcast clouds,12.76,91,100,6.44,NO,2021-12-05 03:11:23
219,Ahipara,-35.1667,173.1667,scattered clouds,73.56,69,30,12.46,NZ,2021-12-05 03:11:23
220,Tiznit,29.5833,-9.5,scattered clouds,53.04,56,31,1.48,MA,2021-12-05 03:11:23
221,Udachnyy,66.4167,112.4,overcast clouds,-27.31,92,95,19.62,RU,2021-12-05 03:11:24
222,Karratha,-20.7377,116.8463,scattered clouds,104.79,18,42,12.17,AU,2021-12-05 03:11:24
223,Tateyama,34.9833,139.8667,scattered clouds,51.15,60,35,10.69,JP,2021-12-05 03:11:24
224,Bonthe,7.5264,-12.505,scattered clouds,79.25,82,36,3.58,SL,2021-12-05 03:11:25
225,Norman Wells,65.282,-126.8329,broken clouds,-25.69,88,71,2.33,CA,2021-12-05 03:11:25
226,Rantepao,-2.9701,119.8978,broken clouds,80.31,71,70,1.95,ID,2021-12-05 03:12:25
227,Saint-Augustin,51.226,-58.6502,few clouds,20.64,62,19,17.18,CA,2021-12-05 03:12:26
228,Berlevag,70.8578,29.0864,broken clouds,16.45,84,67,23.49,NO,2021-12-05 03:12:26
229,San Policarpo,12.1791,125.5072,overcast clouds,79.66,77,88,19.15,PH,2021-12-05 03:12:27
230,Dingle,10.9995,122.6711,broken clouds,79.86,77,83,14.9,PH,2021-12-05 03:12:27
231,Sola,-13.8833,167.55,overcast clouds,79.23,80,100,17.16,VU,2021-12-05 03:12:27
232,Port Angeles,48.1181,-123.4307,scattered clouds,41.7,98,40,8.05,US,2021-12-05 03:12:28
